language_name,yesterday,today,tomorrow,the day,the day before yesterday,the day after tomorrow,two days,two days before now,two days after now,four days,four days before now,four days from now,three days,three days before now,three days from now,value_yesterday,value_today,value_tomorrow,value_day_before_yesterday,value_day_after_tomorrow,time_window,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Top_Family,Subfamily,Genus,Country_ID,Family_in_Data,Subgroup,society_ID,society,Glottocode_society,society_language,region,PC1,PC2,PC3,Gathering,Hunting,Fishing,AnimalHusbandry,Agriculture,subsistence_year,...55,Population size [EA202],Population_year,Mean size of local communities [EA031],Family,Population_size
Albanian,dje,sot,nesër,ditën,pardje,pasnesër,dy ditë,dy ditë më parë,dy ditë pas tani,katër ditë,katër ditë më parë,katër ditë nga tani,tre ditë,tre ditë më parë,tre ditë nga tani,1,1,1,1,1,2,Eurasia,41,20,NA,sqi,Indo-European,NA,Albanian,RS AL,NA,NA,Ce1,Gheg,gheg1238,Gheg Albanian,Southeastern Europe,-1.249819275,0.666138049,0.152984961,0.025,0.025,0.025,0.405,0.605,1900,Mountain Gheg of No. Albania,NA,NA,200-399,Indo-European,299.5
Armenian,երեկ,այսօր,վաղը,օրը,նախօրեին,վաղը մյուս օրը,երկու օր,երկու օր առաջ,երկու օր անց,չորս օր,չորս օր առաջ,չորս օրից,երեք օր,երեք օր առաջ,երեք օրից,1,1,1,1,0.5,1.5,Eurasia,40,45,nucl1235,hye,Indo-European,NA,Armenian,AM,NA,NA,NA,Armenians,nucl1235,Eastern Armenian,Caucasus,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1900,NA,NA,NA,50000,Indo-European,50000
Bengali,গতকাল,আজ,আগামীকাল,দিন,গতকালের আগের দিন,পরশু,দুই দিন,এখন থেকে দুই দিন আগে,এখন দুই দিন পর,চার দিন,এখন থেকে চার দিন আগে,এখন থেকে চার দিন,তিন দিন,এখন থেকে তিন দিন আগে,এখন থেকে তিন দিন,1,1,1,0.5,1,1.5,Eurasia,24,90,beng1280,ben,Indo-European,None,Indic,BD IN,Indo-European,None,Ef2,Bengali,beng1280,Bengali,Indian Subcontinent,-0.343869779,-0.570020608,-0.706077005,0.025,0.025,0.205,0.205,0.605,1940,NA,NA,NA,50000,Indo-European,50000
Bulgarian,вчера,днес,утре,деня,завчера,вдругиден,два дни,преди два дни,след два дни,четири дни,четири дни преди сега,след четири дни,три дни,преди три дни,след три дни,1,1,1,1,1,2,Eurasia,42.5,25,bulg1262,bul,Indo-European,None,Slavic,BG,Indo-European,None,Ch5,Bulgarians,bulg1262,Bulgarian,Southeastern Europe,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1940,NA,1700,1934,50000,Indo-European,50000
Czech,včera,dnes,zítra,den,předevčírem,pozítří,dva dny,před dvěma dny,dva dny poté,čtyři dny,před čtyřmi dny,za čtyři dny,tři dny,před třemi dny,za tři dny,1,1,1,1,1,2,Eurasia,50,15,czec1258,ces,Indo-European,None,Slavic,CZ,Indo-European,None,Ch3,Czechs,czec1258,Czech,Middle Europe,-1.313493394,-0.029258223,0.316670588,0.025,0.025,0.025,0.305,0.705,1940,NA,8800000,1950,50000,Indo-European,50000
Dutch,gisteren,vandaag,morgen,de dag,eergisteren,overmorgen,twee dagen,twee dagen voor nu,twee dagen na nu,vier dagen,vier dagen voor nu,vier dagen vanaf nu,drie dagen,drie dagen voor nu,drie dagen vanaf nu,1,1,1,1,1,2,Eurasia,52.5,6,dutc1256,nld,Indo-European,None,Germanic,NL,Indo-European,None,Cg1,Dutch,dutc1256,Dutch,Middle Europe,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1950,NA,NA,NA,50000,Indo-European,50000
Greek,εχθές,σήμερα,αύριο,την ημέρα,προχθές,μεθαύριο,δύο μέρες,δύο μέρες πριν,δύο μέρες μετά τώρα,τέσσερις μέρες,τέσσερις μέρες πριν,τέσσερις μέρες από τώρα,τρεις μέρες,τρεις μέρες πριν,τρεις μέρες από τώρα,1,1,1,1,1,2,Eurasia,39,22,mode1248,ell,Indo-European,NA,Greek,GR,NA,None,Ef9,Gujarati,guja1252,Gujarati,Indian Subcontinent,-0.829949412,0.066112944,-0.220475284,0.025,0.025,0.105,0.305,0.605,1950,NA,NA,NA,50000,Indo-European,50000
Gujarati,ગઈકાલે,આજે,આવતીકાલે,દિવસ,ગઈકાલના આગલા દિવસે,કાલ પછીનો દિવસ,બે દિવસ,આજથી બે દિવસ પહેલા,હવે બે દિવસ પછી,ચાર દિવસ,આજથી ચાર દિવસ પહેલા,હવેથી ચાર દિવસ,ત્રણ દિવસ,આજથી ત્રણ દિવસ પહેલા,હવેથી ત્રણ દિવસ,1,1,1,0.5,0.5,1,Eurasia,23,72,guja1252,guj,Indo-European,None,Indic,IN,NA,NA,Ef9,Gujarati,guja1252,Gujarati,Indian Subcontinent,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1920,NA,NA,NA,50000,Indo-European,50000
Italian,ieri,oggi,domani,il giorno,l'altroieri,dopodomani,due giorni,due giorni prima di adesso,due giorni dopo di adesso,quattro giorni,quattro giorni prima di adesso,tra quattro giorni,tre giorni,tre giorni prima di adesso,tra tre giorni,1,1,1,0.5,1,1.5,Eurasia,43,12,ital1282,ita,Indo-European,None,Romance,CH IT,Indo-European,None,NA,Neapolitans,neap1235,Continental Southern Italian,Southeastern Europe,-0.95729765,-1.3246796,0.106895971,0.025,0.025,0.105,0.105,0.805,1960,NA,NA,NA,50000,Indo-European,50000
Latvian,vakar,šodien,rīt,diena,aizvakar,parīt pēc rītdienas,divas dienas,divas dienas iepriekš,divas dienas pēc šī brīža,četras dienas,pirms četrām dienām,četras dienas no šī brīža,trīs dienas,trīs dienas iepriekš,trīs dienas no šī brīža,1,1,1,1,0.5,1.5,Eurasia,57,24,latv1249,lav,Indo-European,None,Baltic,LV,Indo-European,None,NA,Latvians,latv1249,Latvian,Eastern Europe,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1881,NA,1312000,1897,50000,Indo-European,50000
