language_name,yesterday,today,tomorrow,the day,the day before yesterday,the day after tomorrow,two days,two days before now,two days after now,four days,four days before now,four days from now,three days,three days before now,three days from now,value_yesterday,value_today,value_tomorrow,value_day_after_tomorrow,value_day_before_yesterday,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Genus,Country_ID,society_ID,society,dominant subsistence type,,Macroarea,Subsistence economy: gathering [EA001],Subsistence economy: hunting [EA002],Subsistence economy: fishing [EA003],Subsistence economy: animal husbandry [EA004],Subsistence economy: agriculture [EA005],,,Population size [EA202],,Mean size of local communities [EA031],,,,,,,,,,,,
English,yesterday,today,tomorrow,the day,the day before yesterday,the day after tomorrow,two days,two days before now,two days after now,four days,four days before now,four days from now,three days,three days before now,three days from now,1,1,1,0.5,0.5,Eurasia,52,0,stan1293,eng,Indo-European,,eng,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian,dje,sot,nesër,ditën,pardje,pasnesër,dy ditë,dy ditë më parë,dy ditë pas tani,katër ditë,katër ditë më parë,katër ditë nga tani,tre ditë,tre ditë më parë,tre ditë nga tani,1,1,1,1,1,Eurasia,41,20,,sqi,Indo-European,Albanian,RS AL,Ce1,Gheg,gheg1238,Gheg Albanian,Southeastern Europe,0-5%,0-5%,0-5%,36-45%,56-65%,1900,Mountain Gheg of No. Albania,,,200-399,,,,,,,,,,,,
Armenian,երեկ,այսօր,վաղը,օրը,նախօրեին,վաղը մյուս օրը,երկու օր,երկու օր առաջ,երկու օր անց,չորս օր,չորս օր առաջ,չորս օրից,երեք օր,երեք օր առաջ,երեք օրից,1,1,1,1,0.5,Eurasia,40,45,nucl1235,hye,Indo-European,Armenian,AM,,Armenians,nucl1235,Eastern Armenian,Caucasus,0-5%,0-5%,0-5%,26-35%,66-75%,1900,,,,50000,,,,,,,,,,,,
Bengali,গতকাল,আজ,আগামীকাল,দিন,গতকালের আগের দিন,পরশু,দুই দিন,এখন থেকে দুই দিন আগে,এখন দুই দিন পর,চার দিন,এখন থেকে চার দিন আগে,এখন থেকে চার দিন,তিন দিন,এখন থেকে তিন দিন আগে,এখন থেকে তিন দিন,1,1,1,0.5,1,Eurasia,24,90,beng1280,ben,Indo-European,Indic,BD IN,Ef2,Bengali,beng1280,Bengali,Indian Subcontinent,0-5%,0-5%,16-25%,16-25%,56-65%,1940,,,,50000,,,,,,,,,,,,
Bosnian,juče,danas,sutra,dan,prekjučer,prekosutra,dva dana,dva dana ranije,dva dana kasnije,četiri dana,četiri dana ranije,četiri dana od sada,tri dana,tri dana ranije,tri dana od sada,1,1,1,1,1,Eurasia,43,18,bosn1245,bos,Indo-European,Slavic,BA,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Bulgarian,вчера,днес,утре,деня,завчера,вдругиден,два дни,преди два дни,след два дни,четири дни,четири дни преди сега,след четири дни,три дни,преди три дни,след три дни,1,1,1,1,1,Eurasia,42.5,25,bulg1262,bul,Indo-European,Slavic,BG,Ch5,Bulgarians,bulg1262,Bulgarian,Southeastern Europe,0-5%,0-5%,0-5%,16-25%,76-85%,1940,,1700,1934,50000,,,,,,,,,,,,
Catalan,ahir,avui,demà,el dia,"abans d'ahir昨天之前
",passat demà过去的明天,dos dies,dos dies abans d'ara,dos dies després d'ara,quatre dies,fa quatre dies,d'aquí quatre dies,tres dies,fa tres dies,d'aquí tres dies,1,1,1,0,0,Eurasia,41.75,2,stan1289,cat,Indo-European,Romance,ES,Ce6,Spaniards,stan1288,Spanish,Southwestern Europe,None,,,,,,,,,,,,,,,,,,,,,
Croatian,jučer,danas,sutra,dan,prekjučer,prekosutra,dva dana,prije dva dana,dva dana kasnije,četiri dana,četiri dana prije sada,četiri dana od sada,tri dana,prije tri dana,tri dana od sada,1,1,1,1,1,Eurasia,45.812092,15.975308,sout1528,hbs,Indo-European,Slavic,,CCMCcroa1245,Croatian Standard,croa1245,Croatian Standard,Southeastern Europe,None,,,,,,,,,,,,,,,,,,,,,
Czech,včera,dnes,zítra,den,předevčírem,pozítří,dva dny,před dvěma dny,dva dny poté,čtyři dny,před čtyřmi dny,za čtyři dny,tři dny,před třemi dny,za tři dny,1,1,1,1,1,Eurasia,50,15,czec1258,ces,Indo-European,Slavic,CZ,Ch3,Czechs,czec1258,Czech,Middle Europe,0-5%,0-5%,0-5%,26-35%,66-75%,1940,,8800000,1950,50000,,,,,,,,,,,,
Danish,i går,i dag,i morgen,dagen,i forgårs,i overmorgen,to dage,to dage før nu,to dage efter nu,fire dage,fire dage før nu,fire dage fra nu,tre dage,tre dage før nu,tre dage fra nu,1,1,1,1,1,Eurasia,56,10,dani1285,dan,Indo-European,Germanic,DK,CCMCdani1285,Danish,dani1285,Danish,Northern Europe,None,,,,,,,,,,,,,,,,,,,,,
Dutch,gisteren,vandaag,morgen,de dag,eergisteren,overmorgen,twee dagen,twee dagen voor nu,twee dagen na nu,vier dagen,vier dagen voor nu,vier dagen vanaf nu,drie dagen,drie dagen voor nu,drie dagen vanaf nu,1,1,1,1,1,Eurasia,52.5,6,dutc1256,nld,Indo-European,Germanic,NL,Cg1,Dutch,dutc1256,Dutch,Middle Europe,0-5%,0-5%,6-15%,26-35%,56-65%,1950,,,,50000,,,,,,,,,,,,
